Feature,a,b,b͡d,b͡v,b͡β,c,c͡ç,d,d̠͡ɮ̠,d̪͡z̪,d̪͡ð,d̪͡ɮ̪,d͡z,d͡ɮ,d͡ʑ,d͡ʒ,e,f,g͡b,h,i,j,k,k+,k+͡x+,k̠,k̠͡x̠,k͡p,k͡x,l,m,n,o,p,p͡f,p͡t,p͡ɸ,q,q͡χ,r,s,t,t̠͡ɬ̠,t̪͡s̪,t̪͡ɬ̪,t̪͡θ,t͡s,t͡ɕ,t͡ɬ,t͡ʃ,u,v,w,x,x+,x̠,y,z,æ,ç,ð,ø,ħ,ŋ,ŋ+,ŋ˗,œ,ɉ,ɉ͡ʝ,ɑ,ɒ,ɔ,ɕ,ɖ,ɖ͡ʐ,ɘ,ə,ɚ,ɛ,ɞ,ɡ,ɡ+,ɡ+͡ɣ+,ɡ̠,ɡ̠̠͡ɣ̠,ɡ͡ɣ,ɢ,ɢ͡ʁ,ɣ,ɣ+,ɣ̠,ɤ,ɥ,ɦ,ɧ,ɨ,ɪ,ɫ,ɬ,ɭ,ɮ,ɯ,ɰ,ɰ̠,ɱ,ɲ,ɳ,ɴ,ɵ,ɶ,ɸ,ɹ,ɺ,ɻ,ɽ,ɾ,ʀ,ʁ,ʂ,ʃ,ʈ,ʈ͡ʂ,ʉ,ʊ,ʋ,ʌ,ʍ,ʎ,ʏ,ʐ,ʑ,ʒ,ʔ,ʕ,ʙ,ʝ,ʟ,ʟ̠,β,θ,χ
CORONAL,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0
DORSAL,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1
LABIAL,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
anterior,,,1,,,0,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,1,,1,,,,1,,,,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,1,,0,1,,,,,,,0,0,,,,1,0,0,,,0,,,,,,,,,,,,,,,,,0,,,1,1,0,1,,,,,0,0,,,,,0,1,0,0,1,,,0,0,0,0,,,,,,0,,0,1,0,,,,0,,,,1,
approximant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
back,0,,,,,0,0,,,,,,,,0,,0,,,,0,0,,0,0,1,1,,,,,,1,,,,,1,1,,,,,,,,,0,,,1,,1,,0,1,0,,0,0,,0,1,,0,1,0,0,0,1,1,1,0,,,0,0,,0,0,,0,0,1,1,,1,1,,0,1,1,0,,,0,0,1,,,,1,,1,,0,,1,0,0,,,,,,,1,1,,,,,0,1,,1,1,0,0,,0,,,1,,0,0,1,,,1
consonantal,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
constr gl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
continuant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
delayed release,,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,,1,0,1,,,0,0,1,0,1,0,1,,,,,0,1,0,1,0,1,,1,0,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,,1,1,,1,,,,,0,1,,,,1,0,1,,,,,,0,0,1,0,1,1,0,1,1,1,1,,,1,1,,,,1,,1,,,,,,,,,,1,,,,,,,1,1,1,0,1,,,,,1,,,1,1,1,0,0,,1,,,1,1,1
